iter	Logloss
0	0.688445266
1	0.6832295961
2	0.6777536338
3	0.6729496916
4	0.6696635147
5	0.6659127422
6	0.661531738
7	0.6587472837
8	0.6553063697
9	0.6528726392
10	0.6507338345
11	0.6477434506
12	0.644619772
13	0.6428062607
14	0.641146134
15	0.6386268482
16	0.6366710635
17	0.6342708523
18	0.6330332035
19	0.6309018799
20	0.6287199096
21	0.6277061984
22	0.62635692
23	0.6247649674
24	0.6231021385
25	0.6217217449
26	0.620369159
27	0.619133983
28	0.6180678271
29	0.6165622107
30	0.6151422899
31	0.6138075132
32	0.6129430156
33	0.6122257976
34	0.6110655034
35	0.6099264396
36	0.6086990679
37	0.6079634042
38	0.6066300141
39	0.6051689811
40	0.6042416534
41	0.6033836932
42	0.6027431058
43	0.6019729629
44	0.6011925651
45	0.5997107139
46	0.5986585845
47	0.5979647931
48	0.5969423943
49	0.5958796148
50	0.5947273368
51	0.5939825064
52	0.5935879585
53	0.592814584
54	0.5923460884
55	0.5915300846
56	0.5907274075
57	0.589983366
58	0.5891731808
59	0.5884090323
60	0.5873454521
61	0.5864765216
62	0.585713511
63	0.5852026835
64	0.5843704322
65	0.5835689172
66	0.5827171082
67	0.5821009086
68	0.581435681
69	0.5806865142
70	0.5800020176
71	0.5794952072
72	0.5788095258
73	0.5778728077
74	0.5772099074
75	0.576917835
76	0.5764125269
77	0.5756091576
78	0.5748749259
79	0.5742958915
80	0.5736185113
81	0.5730974413
82	0.5722343165
83	0.5716624002
84	0.5712959561
85	0.5705489366
86	0.5699225578
87	0.569324139
88	0.5687198097
89	0.567881421
90	0.5675597839
91	0.5669726752
92	0.5663446953
93	0.5657457876
94	0.565213246
95	0.5643710574
96	0.5636434602
97	0.5632402931
98	0.5626408799
99	0.561865642
100	0.5612839351
101	0.5607036899
102	0.5600361483
103	0.5595789051
104	0.5586415417
105	0.5577971935
106	0.5572494512
107	0.5566592089
108	0.5560191754
109	0.5554778191
110	0.5548535072
111	0.5544342893
112	0.5540391193
113	0.5537539537
114	0.5533580544
115	0.5528342138
116	0.5521669232
117	0.5515266002
118	0.5510191637
119	0.5502276173
120	0.5494218644
121	0.5487395253
122	0.5482797681
123	0.5475586712
124	0.5470409316
125	0.5464622516
126	0.5457751109
127	0.5453643674
128	0.5450702666
129	0.5447551577
130	0.5444788061
131	0.5439068197
132	0.5434612699
133	0.5430711691
134	0.5425880028
135	0.5420095411
136	0.5417016583
137	0.5411418917
138	0.5402921191
139	0.539956583
140	0.5394058611
141	0.5390724902
142	0.538646108
143	0.5379827903
144	0.5373977102
145	0.5367869334
146	0.5362656603
147	0.535844831
148	0.5352592932
149	0.5346651428
150	0.5336461666
151	0.5334885326
152	0.5330160729
153	0.5323254647
154	0.5319340017
155	0.5315145653
156	0.5310588106
157	0.5302942002
158	0.5298298867
159	0.5296038043
160	0.5287895815
161	0.5283206122
162	0.5275339491
163	0.5270138282
164	0.5267144831
165	0.5262176005
166	0.5258288695
167	0.5252589928
168	0.5249299804
169	0.524346496
170	0.5239981217
171	0.5236385346
172	0.5232763912
173	0.5228826895
174	0.5226060316
175	0.5223821444
176	0.5221133474
177	0.5216915666
178	0.5214237401
179	0.5210047006
180	0.5206725627
181	0.5201744224
182	0.5198186393
183	0.5194603158
184	0.5189398159
185	0.5183287138
186	0.5175856505
187	0.5170348293
188	0.5164253948
189	0.5159469231
190	0.5155635099
191	0.5151080294
192	0.5145219881
193	0.513829313
194	0.513077226
195	0.5126340531
196	0.5120487976
197	0.5116094511
198	0.5113632681
199	0.5110562891
200	0.5103716479
201	0.5097669061
202	0.5093201746
203	0.5089505917
204	0.5083724922
205	0.507814284
206	0.507431609
207	0.5069639972
208	0.5064696953
209	0.5060041119
210	0.5056364679
211	0.5051038458
212	0.5046656816
213	0.5043193873
214	0.5038400505
215	0.5031111276
216	0.5026133846
217	0.5020512926
218	0.5015354897
219	0.5011330202
220	0.5005186271
221	0.500130241
222	0.499786853
223	0.4992314992
224	0.498907778
225	0.498627645
226	0.4982413968
227	0.4978605779
228	0.4974628123
229	0.4969870521
230	0.4965900314
231	0.4961760875
232	0.4956399023
233	0.4952595135
234	0.4946625026
235	0.4942783642
236	0.4939140738
