iter	Passed	Remaining
0	5	2930
1	10	2705
2	16	2704
3	21	2638
4	26	2609
5	31	2591
6	37	2638
7	42	2611
8	47	2599
9	52	2577
10	57	2570
11	63	2562
12	67	2539
13	72	2525
14	78	2540
15	82	2509
16	87	2479
17	93	2492
18	97	2471
19	101	2447
20	107	2445
21	112	2436
22	116	2424
23	122	2423
24	127	2430
25	132	2420
26	137	2406
27	142	2406
28	147	2390
29	151	2378
30	157	2387
31	162	2382
32	168	2381
33	175	2408
34	180	2394
35	186	2401
36	191	2397
37	196	2393
38	208	2463
39	218	2515
40	229	2567
41	239	2608
42	248	2640
43	258	2675
44	268	2718
45	279	2755
46	289	2787
47	298	2806
48	307	2829
49	316	2844
50	325	2866
51	334	2881
52	344	2901
53	353	2922
54	363	2939
55	372	2955
56	383	2980
57	393	3001
58	404	3023
59	413	3035
60	423	3046
61	432	3056
62	442	3071
63	453	3088
64	465	3113
65	475	3125
66	485	3135
67	494	3142
68	505	3154
69	515	3163
70	525	3172
71	534	3176
72	544	3182
73	553	3187
74	562	3185
75	572	3191
76	582	3197
77	592	3207
78	603	3214
79	613	3218
80	623	3223
81	634	3236
82	646	3246
83	658	3259
84	670	3275
85	681	3281
86	691	3281
87	701	3284
88	710	3281
89	721	3288
90	732	3292
91	742	3294
92	754	3301
93	765	3306
94	776	3309
95	789	3320
96	800	3327
97	813	3336
98	829	3360
99	843	3373
100	853	3371
101	863	3369
102	871	3360
103	881	3354
104	890	3348
105	899	3342
106	908	3337
107	917	3329
108	926	3323
109	935	3318
110	945	3314
111	955	3309
112	965	3305
113	976	3305
114	986	3303
115	997	3302
116	1007	3296
117	1015	3287
118	1026	3285
119	1034	3277
120	1047	3281
121	1058	3279
122	1066	3270
123	1076	3263
124	1085	3255
125	1094	3249
126	1103	3241
127	1113	3235
128	1122	3227
129	1130	3218
130	1139	3210
131	1148	3202
132	1158	3197
133	1173	3204
134	1184	3201
135	1193	3194
136	1202	3185
137	1212	3179
138	1221	3171
139	1229	3162
140	1239	3154
141	1247	3144
142	1257	3140
143	1267	3133
144	1277	3128
145	1287	3121
146	1297	3116
147	1307	3110
148	1318	3104
149	1328	3099
150	1338	3093
151	1348	3088
152	1357	3079
153	1367	3071
154	1376	3062
155	1385	3055
156	1395	3049
157	1405	3041
158	1414	3033
159	1423	3024
160	1433	3018
161	1442	3009
162	1453	3004
163	1463	2997
164	1473	2992
165	1485	2988
166	1496	2984
167	1508	2980
168	1518	2974
169	1531	2972
170	1540	2964
171	1551	2959
172	1563	2954
173	1572	2946
174	1584	2941
175	1594	2935
176	1604	2927
177	1615	2921
178	1625	2914
179	1635	2907
180	1645	2900
181	1655	2892
182	1666	2887
183	1677	2881
184	1688	2875
185	1701	2871
186	1712	2866
187	1724	2862
188	1735	2855
189	1748	2852
190	1759	2847
191	1770	2840
192	1781	2833
193	1791	2825
194	1801	2818
195	1812	2811
196	1823	2804
197	1832	2795
198	1842	2786
199	1850	2776
200	1859	2766
201	1868	2756
202	1877	2747
203	1886	2737
204	1895	2728
205	1905	2719
206	1914	2710
207	1924	2702
208	1934	2693
209	1944	2685
210	1955	2678
211	1965	2669
212	1975	2662
213	1985	2653
214	1995	2645
215	2006	2637
216	2016	2630
217	2027	2622
218	2038	2615
219	2047	2606
220	2058	2598
221	2067	2589
222	2079	2582
223	2090	2575
224	2100	2567
225	2111	2559
226	2122	2552
227	2131	2543
228	2142	2534
229	2153	2527
230	2162	2517
231	2173	2510
232	2184	2502
233	2196	2496
234	2212	2495
235	2225	2489
236	2237	2482
237	2247	2474
238	2257	2465
239	2268	2457
240	2277	2447
241	2288	2439
242	2299	2432
243	2309	2423
244	2321	2416
245	2333	2409
246	2344	2401
247	2355	2393
248	2366	2385
249	2375	2375
250	2385	2366
251	2394	2356
252	2403	2346
253	2412	2336
254	2421	2326
255	2430	2316
256	2439	2306
257	2449	2297
258	2457	2286
259	2467	2277
260	2476	2267
261	2485	2257
262	2495	2248
263	2504	2238
264	2514	2230
265	2525	2221
266	2535	2212
267	2546	2204
268	2556	2195
269	2565	2185
270	2574	2175
271	2584	2166
272	2593	2156
273	2602	2146
274	2612	2137
275	2621	2127
276	2631	2118
277	2642	2110
278	2653	2101
279	2665	2094
280	2678	2087
281	2688	2078
282	2698	2069
283	2710	2061
284	2719	2051
285	2730	2043
286	2740	2033
287	2748	2022
288	2758	2013
289	2766	2003
290	2776	1994
291	2786	1984
292	2796	1975
293	2809	1968
294	2818	1958
295	2827	1948
296	2836	1938
297	2845	1929
298	2855	1919
299	2864	1909
300	2874	1900
301	2882	1889
302	2891	1880
303	2900	1870
304	2910	1860
305	2920	1851
306	2929	1841
307	2940	1832
308	2949	1823
309	2959	1813
310	2970	1804
311	2979	1795
312	2990	1786
313	3003	1779
314	3012	1769
315	3023	1760
316	3033	1751
317	3043	1742
318	3054	1733
319	3065	1724
320	3075	1715
321	3086	1706
322	3096	1696
323	3108	1688
324	3120	1680
325	3131	1671
326	3141	1661
