date,ticker,expiration,dte,strike,stock_price,otm_pct,right,iv,bid,ask,mid,volume,open_interest,delta,prob_otm,premium_yield,annual_yield,data_source
2026-06-11,AAPL,2026-06-26,15,110.0,295.63,62.79,put,1.998,0.0,0.45,0.17,10,101,-0.004,98.76,0.154,3.76,bs_fallback
2026-06-11,AAPL,2026-06-26,15,120.0,295.63,59.41,put,1.8672,0.0,0.52,0.198,1,1,-0.005,98.6,0.165,4.02,bs_fallback
2026-06-11,AAPL,2026-06-26,15,130.0,295.63,56.03,put,1.6797,0.0,0.45,0.169,0,0,-0.0048,98.77,0.13,3.17,bs_fallback
2026-06-11,AAPL,2026-06-26,15,140.0,295.63,52.64,put,1.5391,0.0,0.45,0.17,16,16,-0.0053,98.77,0.121,2.95,bs_fallback
2026-06-11,AAPL,2026-06-26,15,150.0,295.63,49.26,put,1.4082,0.0,0.45,0.17,1,1,-0.0058,98.75,0.113,2.76,bs_fallback
2026-06-11,AAPL,2026-06-26,15,165.0,295.63,44.19,put,1.2266,0.0,0.45,0.17,2,1,-0.0066,98.71,0.103,2.51,bs_fallback
2026-06-11,AAPL,2026-06-26,15,170.0,295.63,42.5,put,1.1699,0.0,0.45,0.171,2,1,-0.0069,98.69,0.101,2.45,bs_fallback
2026-06-11,AAPL,2026-06-26,15,175.0,295.63,40.8,put,1.1729,0.0,0.65,0.252,2,1,-0.0098,98.19,0.144,3.51,bs_fallback
2026-06-11,AAPL,2026-06-26,15,180.0,295.63,39.11,put,1.0508,0.0,0.42,0.16,1,4,-0.0072,98.72,0.089,2.16,bs_fallback
2026-06-11,AAPL,2026-06-26,15,185.0,295.63,37.42,put,0.9883,0.0,0.39,0.147,1,6,-0.0071,98.78,0.08,1.94,bs_fallback
2026-06-11,AAPL,2026-06-26,15,190.0,295.63,35.73,put,0.9277,0.0,0.36,0.135,2,21,-0.007,98.83,0.071,1.73,bs_fallback
2026-06-11,AAPL,2026-06-26,15,195.0,295.63,34.04,put,0.9238,0.0,0.52,0.199,2,9,-0.01,98.38,0.102,2.49,bs_fallback
2026-06-11,AAPL,2026-06-26,15,200.0,295.63,32.35,put,0.6875,0.0,0.07,0.024,3,25,-0.0019,99.7,0.012,0.29,bs_fallback
2026-06-11,AAPL,2026-06-26,15,205.0,295.63,30.66,put,0.7354,0.0,0.22,0.081,5,18,-0.0055,99.17,0.039,0.96,bs_fallback
2026-06-11,AAPL,2026-06-26,15,210.0,295.63,28.97,put,0.5977,0.0,0.06,0.02,40,166,-0.0019,99.73,0.01,0.23,bs_fallback
2026-06-11,AAPL,2026-06-26,15,215.0,295.63,27.27,put,0.5918,0.0,0.1,0.035,4,63,-0.0032,99.55,0.016,0.4,bs_fallback
2026-06-11,AAPL,2026-06-26,15,220.0,295.63,25.58,put,0.5469,0.02,0.07,0.045,68,469,-0.0031,99.57,0.02,0.5,market
2026-06-11,AAPL,2026-06-26,15,225.0,295.63,23.89,put,0.5254,0.04,0.08,0.06,40,136,-0.0042,99.43,0.027,0.65,market
2026-06-11,AAPL,2026-06-26,15,230.0,295.63,22.2,put,0.5039,0.0,0.08,0.057,7,96,-0.0057,99.24,0.025,0.6,bs_fallback
2026-06-11,AAPL,2026-06-26,15,235.0,295.63,20.51,put,0.4785,0.01,0.1,0.055,31,179,-0.0074,99.03,0.023,0.57,market
2026-06-11,AAPL,2026-06-26,15,240.0,295.63,18.82,put,0.4512,0.05,0.12,0.085,95,522,-0.0095,98.8,0.035,0.86,market
2026-06-11,AAPL,2026-06-26,15,245.0,295.63,17.13,put,0.4209,0.07,0.14,0.105,28,135,-0.0117,98.55,0.043,1.04,market
2026-06-11,AAPL,2026-06-26,15,250.0,295.63,15.43,put,0.4146,0.12,0.24,0.18,56,1051,-0.0196,97.6,0.072,1.75,market
2026-06-11,AAPL,2026-06-26,15,255.0,295.63,13.74,put,0.3755,0.14,0.25,0.195,4,491,-0.0224,97.33,0.076,1.86,market
2026-06-11,AAPL,2026-06-26,15,260.0,295.63,12.05,put,0.3467,0.25,0.31,0.28,47,719,-0.0293,96.57,0.108,2.62,market
2026-06-11,AAPL,2026-06-26,15,265.0,295.63,10.36,put,0.3193,0.3,0.4,0.35,114,1217,-0.0397,95.44,0.132,3.21,market
2026-06-11,AAPL,2026-06-26,15,270.0,295.63,8.67,put,0.2976,0.49,0.57,0.53,348,1676,-0.0585,93.41,0.196,4.78,market
2026-06-11,AAPL,2026-06-26,15,275.0,295.63,6.98,put,0.2797,0.75,0.87,0.81,83,1153,-0.09,90.04,0.295,7.17,market
2026-06-11,AAPL,2026-06-26,15,280.0,295.63,5.29,put,0.2621,1.22,1.34,1.28,567,1707,-0.1384,84.95,0.457,11.12,market
2026-06-11,AAPL,2026-06-26,15,285.0,295.63,3.6,put,0.2483,2.02,2.14,2.08,498,1623,-0.2137,77.13,0.73,17.76,market
2026-06-11,AAPL,2026-06-26,15,290.0,295.63,1.9,put,0.241,3.3,3.5,3.4,598,1301,-0.3227,65.96,1.172,28.53,market
2026-06-11,AAPL,2026-06-26,15,292.5,295.63,1.06,put,0.2375,4.1,4.4,4.25,174,223,-0.3867,59.47,1.453,35.36,market
2026-06-11,AAPL,2026-06-26,15,295.0,295.63,0.21,put,0.2356,5.15,5.5,5.325,328,1124,-0.4556,52.54,1.805,43.92,market
2026-06-11,AAPL,2026-06-26,15,297.5,295.63,0.0,put,0.2329,6.4,6.75,6.575,103,95,-0.5265,45.48,2.21,53.78,market
2026-06-11,AAPL,2026-06-26,15,300.0,295.63,0.0,put,0.2293,7.7,8.15,7.925,152,1922,-0.598,38.41,2.642,64.28,market
2026-06-11,AAPL,2026-06-26,15,302.5,295.63,0.0,put,0.2358,9.2,9.95,9.575,9,62,-0.6605,32.22,3.165,77.02,market
2026-06-11,AAPL,2026-06-26,15,305.0,295.63,0.0,put,0.2362,11.0,11.75,11.375,73,707,-0.7206,26.35,3.73,90.75,market
2026-06-11,AAPL,2026-06-26,15,307.5,295.63,0.0,put,0.2349,12.75,13.65,13.2,12,189,-0.7763,20.97,4.293,104.46,market
2026-06-11,AAPL,2026-06-26,15,310.0,295.63,0.0,put,0.2352,15.1,15.7,15.4,27,2088,-0.8234,16.45,4.968,120.88,market
2026-06-11,AAPL,2026-06-26,15,312.5,295.63,0.0,put,0.3003,17.1,18.85,17.975,43,252,-0.8016,18.19,5.752,139.97,market
2026-06-11,AAPL,2026-06-26,15,315.0,295.63,0.0,put,0.2546,19.2,20.3,19.75,6,417,-0.8777,11.21,6.27,152.57,market
2026-06-11,AAPL,2026-06-26,15,317.5,295.63,0.0,put,0.2927,21.4,23.0,22.2,1,2,-0.8725,11.55,6.992,170.14,market
2026-06-11,AAPL,2026-06-26,15,320.0,295.63,0.0,put,0.2747,24.2,25.05,24.625,225,98,-0.9127,7.87,7.695,187.25,market
2026-06-11,AAPL,2026-06-26,15,325.0,295.63,0.0,put,0.3572,28.55,30.5,29.525,100,24,-0.8932,9.41,9.085,221.06,market
2026-06-11,AAPL,2026-06-26,15,330.0,295.63,0.0,put,0.3834,33.55,35.35,34.45,1,0,-0.9114,7.67,10.439,254.03,market
2026-06-11,AAPL,2026-06-26,15,335.0,295.63,0.0,put,0.4414,38.55,40.55,39.55,4,0,-0.9081,7.8,11.806,287.28,market
2026-06-11,AAPL,2026-06-26,15,340.0,295.63,0.0,put,0.4741,43.45,45.5,44.475,200,0,-0.917,6.92,13.081,318.3,market
2026-06-11,AAPL,2026-06-26,15,345.0,295.63,0.0,put,0.5454,48.3,50.85,49.575,41,0,-0.9071,7.59,14.37,349.66,market
2026-06-11,AAPL,2026-06-26,15,350.0,295.63,0.0,put,0.5457,53.45,55.5,54.475,2,0,-0.9268,5.9,15.564,378.73,market
2026-06-11,AAPL,2026-06-26,15,370.0,295.63,0.0,put,0.6895,73.45,75.6,74.525,0,0,-0.9359,4.84,20.142,490.12,market
2026-06-11,AAPL,2026-06-26,15,375.0,295.63,0.0,put,0.7078,78.45,80.5,79.475,1,0,-0.942,4.32,21.193,515.7,market
2026-06-11,AAPL,2026-06-26,15,380.0,295.63,0.0,put,0.5527,82.65,86.5,84.575,0,0,-0.9849,1.14,22.257,541.58,market
2026-06-11,AAPL,2026-07-02,21,175.0,295.63,40.8,put,0.9258,0.0,0.37,0.148,0,2,-0.0065,98.82,0.084,1.47,bs_fallback
2026-06-11,AAPL,2026-07-02,21,190.0,295.63,35.73,put,0.5859,0.0,0.02,0.007,2,2,-0.0006,99.9,0.004,0.06,bs_fallback
