date,ticker,price,rv20,rv60,iv_rank,momentum_20d,rsi,above_sma20,above_sma50,sma20_above_sma50
2026-04-02,MSFT,369.37,0.2197,0.3305,10.02,-0.0884,26.91,0,0,0
2026-04-02,GOOGL,297.39,0.3476,0.2704,100.0,-0.0189,45.86,0,0,0
2026-04-02,AMZN,210.57,0.3119,0.3144,53.22,-0.0288,50.95,1,0,0
2026-04-02,META,579.23,0.4746,0.4227,85.05,-0.1325,36.49,0,0,0
2026-04-02,NVDA,175.75,0.3661,0.373,45.34,-0.0398,42.19,0,0,0
2026-04-02,AMD,210.21,0.5425,0.6536,23.68,0.0403,57.99,1,0,0
2026-04-02,TSLA,381.26,0.3805,0.3612,76.85,-0.0608,44.17,0,0,0
2026-04-02,INTC,48.03,0.7261,0.7994,42.66,0.0538,56.1,1,1,0
2026-04-02,CRM,186.24,0.3976,0.4245,17.08,-0.0354,36.48,0,0,0
2026-04-02,ORCL,145.23,0.5176,0.5347,45.58,-0.0469,35.13,0,0,0
2026-04-02,ADBE,241.37,0.3876,0.3715,66.59,-0.1162,28.55,0,0,0
2026-04-02,NFLX,95.55,0.2434,0.4064,11.45,-0.0315,53.85,1,1,1
2026-04-02,PYPL,44.63,0.3334,0.5404,13.85,-0.0453,51.17,0,0,0
2026-04-02,SHOP,118.52,0.4924,0.6159,-0.0,-0.0858,41.35,0,0,0
2026-04-02,UBER,71.71,0.3652,0.3413,82.75,-0.0644,46.9,0,0,0
2026-04-02,COIN,172.99,0.6395,0.8624,27.38,-0.172,38.69,0,0,1
2026-04-02,PLTR,146.49,0.5034,0.5432,38.5,-0.0437,44.12,0,0,1
2026-04-02,SNAP,4.9,0.7799,0.6422,100.0,-0.0875,55.56,1,0,0
2026-04-02,ROKU,94.9,0.5209,0.5112,60.97,-0.0268,50.15,0,1,1
2026-04-02,MARA,8.04,0.7956,0.9602,22.44,-0.1346,42.44,0,0,0
2026-04-02,JPM,295.38,0.2233,0.2563,43.46,-0.0134,65.43,1,0,0
2026-04-02,BAC,49.27,0.2446,0.264,31.91,-0.0205,64.42,1,0,0
2026-04-02,GS,860.21,0.3398,0.3428,45.19,-0.0081,72.12,1,0,0
2026-04-02,MS,166.17,0.2933,0.3394,22.15,-0.0084,71.41,1,0,0
2026-04-02,C,115.3,0.3575,0.3808,37.08,0.0358,69.69,1,1,0
2026-04-02,WFC,80.57,0.2769,0.3008,29.32,-0.04,68.19,1,0,0
2026-04-02,SCHW,92.36,0.1701,0.2683,5.77,-0.0383,54.55,0,0,0
2026-04-02,COF,184.5,0.2655,0.4144,9.69,-0.0579,60.78,1,0,0
2026-04-02,JNJ,244.12,0.1557,0.1591,68.27,-0.0048,54.79,1,1,1
2026-04-02,PFE,28.55,0.2248,0.234,36.49,0.0725,67.42,1,1,1
2026-04-02,ABBV,214.98,0.2621,0.2727,40.9,-0.0898,37.77,0,0,0
2026-04-02,MRK,120.84,0.2009,0.2368,7.04,0.0047,68.66,1,1,0
2026-04-02,UNH,273.98,0.2686,0.499,7.35,-0.0616,47.42,0,0,0
2026-04-02,LLY,954.52,0.3508,0.4273,23.94,-0.0489,45.13,1,0,0
2026-04-02,BMY,61.73,0.2283,0.251,38.28,-0.0096,63.93,1,1,1
2026-04-02,MRNA,50.03,0.562,0.8204,12.97,-0.1344,39.38,0,1,1
2026-04-02,WMT,124.74,0.211,0.2579,0.9,-0.024,48.18,1,1,0
2026-04-02,KO,76.08,0.1323,0.1683,0.0,-0.0259,39.92,0,0,0
2026-04-02,PEP,154.65,0.186,0.2265,24.23,-0.0566,40.51,0,0,0
2026-04-02,MCD,307.29,0.1711,0.1634,68.44,-0.0737,29.02,0,0,0
2026-04-02,NKE,44.63,0.5813,0.4283,100.0,-0.2389,22.35,0,0,0
2026-04-02,SBUX,90.43,0.3639,0.3136,100.0,-0.0692,32.28,0,0,0
2026-04-02,DIS,96.56,0.1907,0.2918,19.88,-0.0629,40.47,0,0,0
2026-04-02,HD,329.56,0.2623,0.2507,78.31,-0.1071,41.64,0,0,0
2026-04-02,TGT,120.45,0.1993,0.3042,0.05,0.0031,64.26,1,1,1
2026-04-02,XOM,160.78,0.2925,0.2981,70.99,0.0732,60.27,1,1,1
2026-04-02,CVX,197.41,0.2738,0.2433,70.78,0.0612,50.7,0,1,1
2026-04-02,OXY,62.23,0.3841,0.389,39.56,0.1608,62.77,1,1,1
2026-04-02,SLB,50.03,0.4887,0.3933,87.23,0.0447,66.67,1,1,0
2026-04-02,DVN,48.59,0.3022,0.3286,26.71,0.1173,62.05,1,1,1
2026-04-02,MPC,238.16,0.3646,0.3617,41.81,0.0788,57.21,1,1,1
2026-04-02,BA,207.32,0.4463,0.319,100.0,-0.0879,52.0,1,0,0
2026-04-02,CAT,730.32,0.4175,0.3873,83.22,-0.0023,57.86,1,1,0
2026-04-02,DE,570.7,0.2499,0.3845,10.81,-0.0706,42.59,0,0,0
2026-04-02,GE,292.68,0.3966,0.367,87.96,-0.1387,41.54,0,0,0
2026-04-02,F,11.68,0.2689,0.3136,35.05,-0.0882,42.74,0,0,0
2026-04-02,GM,75.04,0.2785,0.3523,17.83,-0.0453,55.52,1,0,0
2026-04-02,SPY,655.24,0.1903,0.1455,100.0,-0.0436,44.32,0,0,0
2026-04-02,QQQ,584.31,0.226,0.186,97.09,-0.0433,43.76,0,0,0
2026-04-02,IWM,249.56,0.2575,0.2113,98.38,-0.0466,52.28,1,0,0
2026-04-02,EEM,57.23,0.3348,0.2594,92.7,-0.0308,51.01,1,0,0
2026-04-02,XLF,49.44,0.1632,0.1771,41.86,-0.04,56.29,1,0,0
